date,time,line_short_code,headsign,freq_in_sec
22 July 2022, 02:50:52 PM,AGL,to Sentul Timur,600
22 July 2022, 02:50:53 PM,AGL,to Ampang,600
22 July 2022, 02:50:54 PM,KGL,to Kajang,480
22 July 2022, 02:50:55 PM,KGL,to Kwasa Damansara,480
22 July 2022, 02:50:55 PM,KJL,to Gombak,420
22 July 2022, 02:50:57 PM,KJL,to Putra Heights,420
22 July 2022, 02:50:57 PM,MRL,to Titiwangsa,300
22 July 2022, 02:50:59 PM,MRL,to KL Sentral,300
22 July 2022, 02:50:59 PM,SPL,to Sentul Timur,840
22 July 2022, 02:51:00 PM,SPL,to Putra Heights,840
22 July 2022, 02:51:00 PM,SPL,to Sentul Timur,840
22 July 2022, 02:51:02 PM,SPL,to Putra Heights,840
22 July 2022, 02:51:02 PM,PYL,to Putrajaya,360
22 July 2022, 02:51:04 PM,PYL,to Kwasa Damansara,360
22 July 2022, 02:55:04 PM,AGL,to Sentul Timur,600
22 July 2022, 02:55:04 PM,AGL,to Ampang,600
22 July 2022, 02:55:06 PM,KGL,to Kajang,480
22 July 2022, 02:55:08 PM,KGL,to Kwasa Damansara,480
22 July 2022, 02:55:08 PM,KJL,to Gombak,420
22 July 2022, 02:55:09 PM,KJL,to Putra Heights,420
22 July 2022, 02:55:11 PM,MRL,to Titiwangsa,300
22 July 2022, 02:55:11 PM,MRL,to KL Sentral,300
22 July 2022, 02:55:12 PM,SPL,to Sentul Timur,840
22 July 2022, 02:55:13 PM,SPL,to Putra Heights,840
22 July 2022, 02:55:14 PM,SPL,to Sentul Timur,840
22 July 2022, 02:55:14 PM,SPL,to Putra Heights,840
22 July 2022, 02:55:16 PM,PYL,to Putrajaya,360
22 July 2022, 02:55:16 PM,PYL,to Kwasa Damansara,360
22 July 2022, 03:00:02 PM,AGL,to Sentul Timur,600
22 July 2022, 03:00:02 PM,AGL,to Ampang,600
22 July 2022, 03:00:03 PM,KGL,to Kajang,480
22 July 2022, 03:00:03 PM,KGL,to Kwasa Damansara,480
22 July 2022, 03:00:05 PM,KJL,to Gombak,420
22 July 2022, 03:00:05 PM,KJL,to Putra Heights,420
22 July 2022, 03:00:07 PM,MRL,to Titiwangsa,300
22 July 2022, 03:00:07 PM,MRL,to KL Sentral,300
22 July 2022, 03:00:08 PM,SPL,to Sentul Timur,840
22 July 2022, 03:00:08 PM,SPL,to Putra Heights,840
22 July 2022, 03:00:09 PM,SPL,to Sentul Timur,840
22 July 2022, 03:00:09 PM,SPL,to Putra Heights,840
22 July 2022, 03:00:11 PM,PYL,to Putrajaya,360
22 July 2022, 03:00:11 PM,PYL,to Kwasa Damansara,360
22 July 2022, 03:05:02 PM,AGL,to Sentul Timur,600
22 July 2022, 03:05:02 PM,AGL,to Ampang,600
22 July 2022, 03:05:04 PM,KGL,to Kajang,480
22 July 2022, 03:05:04 PM,KGL,to Kwasa Damansara,480
22 July 2022, 03:05:06 PM,KJL,to Gombak,420
22 July 2022, 03:05:06 PM,KJL,to Putra Heights,420
22 July 2022, 03:05:07 PM,MRL,to Titiwangsa,300
22 July 2022, 03:05:08 PM,MRL,to KL Sentral,300
22 July 2022, 03:05:08 PM,SPL,to Sentul Timur,840
22 July 2022, 03:05:10 PM,SPL,to Putra Heights,840
22 July 2022, 03:05:10 PM,SPL,to Sentul Timur,840
22 July 2022, 03:05:11 PM,SPL,to Putra Heights,840
22 July 2022, 03:05:11 PM,PYL,to Putrajaya,360
22 July 2022, 03:05:12 PM,PYL,to Kwasa Damansara,360
22 July 2022, 03:10:01 PM,AGL,to Sentul Timur,600
22 July 2022, 03:10:02 PM,AGL,to Ampang,600
22 July 2022, 03:10:04 PM,KGL,to Kajang,480
22 July 2022, 03:10:04 PM,KGL,to Kwasa Damansara,480
22 July 2022, 03:10:05 PM,KJL,to Gombak,420
22 July 2022, 03:10:06 PM,KJL,to Putra Heights,420
22 July 2022, 03:10:07 PM,MRL,to Titiwangsa,300
22 July 2022, 03:10:08 PM,MRL,to KL Sentral,300
22 July 2022, 03:10:09 PM,SPL,to Sentul Timur,840
22 July 2022, 03:10:10 PM,SPL,to Putra Heights,840
22 July 2022, 03:10:10 PM,SPL,to Sentul Timur,840
22 July 2022, 03:10:12 PM,SPL,to Putra Heights,840
22 July 2022, 03:10:12 PM,PYL,to Putrajaya,360
22 July 2022, 03:10:13 PM,PYL,to Kwasa Damansara,360
22 July 2022, 03:15:01 PM,AGL,to Sentul Timur,600
22 July 2022, 03:15:03 PM,AGL,to Ampang,600
22 July 2022, 03:15:03 PM,KGL,to Kajang,480
22 July 2022, 03:15:05 PM,KGL,to Kwasa Damansara,480
22 July 2022, 03:15:05 PM,KJL,to Gombak,420
22 July 2022, 03:15:07 PM,KJL,to Putra Heights,420
22 July 2022, 03:15:07 PM,MRL,to Titiwangsa,300
22 July 2022, 03:15:08 PM,MRL,to KL Sentral,300
22 July 2022, 03:15:10 PM,SPL,to Sentul Timur,840
22 July 2022, 03:15:12 PM,SPL,to Putra Heights,840
22 July 2022, 03:15:12 PM,SPL,to Sentul Timur,840
22 July 2022, 03:15:14 PM,SPL,to Putra Heights,840
22 July 2022, 03:15:14 PM,PYL,to Putrajaya,360
22 July 2022, 03:15:16 PM,PYL,to Kwasa Damansara,360
22 July 2022, 03:20:01 PM,AGL,to Sentul Timur,600
22 July 2022, 03:20:02 PM,AGL,to Ampang,600
22 July 2022, 03:20:02 PM,KGL,to Kajang,480
22 July 2022, 03:20:04 PM,KGL,to Kwasa Damansara,480
22 July 2022, 03:20:04 PM,KJL,to Gombak,420
22 July 2022, 03:20:06 PM,KJL,to Putra Heights,420
22 July 2022, 03:20:06 PM,MRL,to Titiwangsa,300
22 July 2022, 03:20:08 PM,MRL,to KL Sentral,300
22 July 2022, 03:20:08 PM,SPL,to Sentul Timur,840
22 July 2022, 03:20:10 PM,SPL,to Putra Heights,840
22 July 2022, 03:20:10 PM,SPL,to Sentul Timur,840
22 July 2022, 03:20:11 PM,SPL,to Putra Heights,840
22 July 2022, 03:20:11 PM,PYL,to Putrajaya,360
22 July 2022, 03:20:13 PM,PYL,to Kwasa Damansara,360
22 July 2022, 03:25:02 PM,AGL,to Sentul Timur,600
22 July 2022, 03:25:04 PM,AGL,to Ampang,600
22 July 2022, 03:25:04 PM,KGL,to Kajang,480
22 July 2022, 03:25:06 PM,KGL,to Kwasa Damansara,480
22 July 2022, 03:25:06 PM,KJL,to Gombak,420
22 July 2022, 03:25:08 PM,KJL,to Putra Heights,420
22 July 2022, 03:25:08 PM,MRL,to Titiwangsa,300
22 July 2022, 03:25:09 PM,MRL,to KL Sentral,300
22 July 2022, 03:25:11 PM,SPL,to Sentul Timur,840
22 July 2022, 03:25:11 PM,SPL,to Putra Heights,840
22 July 2022, 03:25:13 PM,SPL,to Sentul Timur,840
22 July 2022, 03:25:13 PM,SPL,to Putra Heights,840
22 July 2022, 03:25:14 PM,PYL,to Putrajaya,360
